Dish,Ingredient
Carbonara,Pasta
Carbonara,Bacon
Carbonara,Egg
Carbonara,Parmesan
Chicken Tikka Masala,Chicken
Chicken Tikka Masala,Tomato
Chicken Tikka Masala,Yogurt
Chicken Tikka Masala,Garlic
Tacos,Tortilla
Tacos,Beef
Tacos,Tomato
Tacos,Cheese
Sushi,Rice
Sushi,Seaweed
Sushi,Fish
Lasagna,Pasta
Lasagna,Beef
Lasagna,Tomato
Lasagna,Cheese
Pad Thai,Noodles
Pad Thai,Egg
Pad Thai,Tofu
Pad Thai,Peanut
Falafel,Chickpea
Falafel,Garlic
Falafel,Herb
Ramen,Noodles
Ramen,Egg
Ramen,Pork
Paella,Rice
Paella,Seafood
Paella,Saffron
Beef Stroganoff,Beef
Beef Stroganoff,Mushroom
Beef Stroganoff,Cream
